1948	NaN
1949	NaN
1950	27.702
1951	28.743
1952	28.382
1953	28.912
1954	27.938
1955	27.853
1956	27.950
1957	28.950
1958	28.823
1959	28.368
1960	28.337
1961	28.267
1962	28.188
1963	28.768
1964	27.787
1965	29.067
1966	28.880
1967	28.507
1968	28.668
1969	29.070
1970	28.380
1971	27.895
1972	29.158
1973	27.875
1974	27.893
1975	27.365
1976	28.453
1977	28.948
1978	28.428
1979	28.657
1980	28.802
1981	28.327
1982	29.067
1983	28.525
1984	28.298
1985	28.243
1986	28.910
1987	29.432
1988	27.883
1989	28.222
1990	28.987
1991	29.305
1992	29.043
1993	28.965
1994	29.393
1995	28.920
1996	28.632
1997	29.442
1998	28.160
1999	27.957
2000	28.247
2001	28.978
2002	29.520
2003	29.120
2004	29.390
2005	28.995
2006	29.218
2007	28.602
2008	28.177
2009	29.300
2010	28.103
2011	28.462
2012	28.818
