1949	NaN
1950	NaN
1951	23.710
1952	24.508
1953	24.673
1954	23.393
1955	23.250
1956	23.257
1957	24.393
1958	25.163
1959	24.445
1960	24.182
1961	24.338
1962	23.412
1963	23.778
1964	23.888
1965	24.470
1966	24.380
1967	23.835
1968	23.105
1969	24.810
1970	24.523
1971	23.413
1972	24.573
1973	25.310
1974	23.597
1975	23.697
1976	23.493
1977	24.595
1978	23.995
1979	24.397
1980	24.528
1981	23.713
1982	24.000
1983	27.268
1984	24.332
1985	23.787
1986	24.052
1987	25.527
1988	24.540
1989	24.223
1990	24.290
1991	24.087
1992	25.515
1993	24.947
1994	24.270
1995	24.693
1996	23.855
1997	24.357
1998	27.927
1999	24.228
2000	23.938
2001	24.332
2002	24.422
2003	25.077
2004	24.820
2005	24.402
2006	24.080
2007	25.145
2008	24.032
2009	24.268
2010	24.802
2011	23.940
2012	24.543
2013	23.880
