1950	-1.026
1951	0.551
1952	-0.106
1953	0.395
1954	-1.401
1955	-1.911
1956	-1.331
1957	1.004
1958	0.527
1959	-0.019
1960	-0.334
1961	-0.262
1962	-0.707
1963	0.357
1964	-1.295
1965	1.165
1966	-0.058
1967	-0.534
1968	-0.308
1969	0.455
1970	-0.900
1971	-1.384
1972	1.420
1973	-1.137
1974	-0.792
1975	-1.514
1976	0.519
1977	0.707
1978	-0.327
1979	0.531
1980	0.564
1981	0.045
1982	1.437
1983	1.339
1984	-0.064
1985	-0.342
1986	0.661
1987	1.879
1988	-1.016
1989	-0.384
1990	0.304
1991	0.942
1992	1.086
1993	1.266
1994	0.858
1995	-0.002
1996	-0.276
1997	2.424
1998	0.280
1999	-0.726
2000	-0.156
2001	0.058
2002	0.820
2003	0.227
2004	0.466
2005	0.360
2006	0.600
2007	-0.530
2008	-0.317
2009	0.830
2010	-1.137
2011	-0.463
2012	0.617
